generator_name,seed,dataset_size,train_size,validation_size,test_size,model_name,model_random_state,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,validation_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
numpy_mt19937,1000,34874,24411,5232,5231,RandomForestClassifier,42,0.9392201834862385,0.9038282597784525,0.8654416613616815,0.883705838637523,0.9382997836804268,0.9367233798508889,0.8970151073729228,0.8633535874679042,0.8792701987328674,0.9358310235447114
numpy_mt19937,1001,34874,24411,5232,5231,RandomForestClassifier,42,0.933868501529052,0.8914156212652279,0.8570348426730257,0.8733742751738891,0.9329163115096988,0.9359587077040719,0.9005941906620182,0.8572168245901951,0.8777090548187276,0.9348761962566124
numpy_mt19937,1002,34874,24411,5232,5231,RandomForestClassifier,42,0.9363532110091743,0.8884186981531617,0.8727454643110463,0.8804144152236857,0.935948636292324,0.9361498757407761,0.9000131686541463,0.8586979467235182,0.8782801502809164,0.9351181516242786
numpy_mt19937,1003,34874,24411,5232,5231,RandomForestClassifier,42,0.9375,0.8983716284785116,0.867582673765634,0.8823467957923992,0.9367568908769677,0.9344293634104378,0.8945841131398565,0.8550876801328453,0.873836718012582,0.9333839724069002
numpy_mt19937,1004,34874,24411,5232,5231,RandomForestClassifier,42,0.9342507645259939,0.8895525410469368,0.8599971646008648,0.8741284739213803,0.9334162507075022,0.9392085643280443,0.90647395321901,0.8643358029171994,0.8842505469988491,0.9382099910238694
numpy_mt19937,1005,34874,24411,5232,5231,RandomForestClassifier,42,0.9405581039755352,0.9031518820001495,0.8735600142446301,0.8877998638881567,0.9398754029162395,0.9317530108965781,0.8878957618946176,0.8533458449642022,0.8698151832450453,0.9307853136768891
numpy_mt19937,1006,34874,24411,5232,5231,RandomForestClassifier,42,0.9340596330275229,0.8955668888131321,0.853677115595804,0.8735012139158096,0.9329551899503216,0.9369145478875932,0.9004574505843831,0.8590835002017316,0.8786518852868616,0.9358552452160019
numpy_mt19937,1007,34874,24411,5232,5231,RandomForestClassifier,42,0.9380733944954128,0.8983345179601218,0.8681636066993491,0.8826055613710543,0.9373859704189219,0.9340470273370293,0.9040097687420539,0.8454404497083114,0.8725390250525614,0.9325081575484747
numpy_mt19937,1008,34874,24411,5232,5231,RandomForestClassifier,42,0.9319571865443425,0.8809058432971549,0.8622577457029621,0.8713561539026832,0.9314475205530668,0.9409290766583828,0.9033241643703519,0.8744825068166135,0.8883838307593416,0.9402791109990839
numpy_mt19937,1009,34874,24411,5232,5231,RandomForestClassifier,42,0.9373088685015291,0.9001571428972005,0.8606049255030609,0.8793772606272992,0.9363602464491253,0.9420760848786083,0.9040475217459659,0.8797189559368626,0.8914547342738187,0.9415488187324882
numpy_mt19937,1010,34874,24411,5232,5231,RandomForestClassifier,42,0.9304281345565749,0.8894986711293167,0.8455698498307022,0.8658615935604438,0.929108631333979,0.9361498757407761,0.8916405756446908,0.8683115701739704,0.879625958257518,0.935559455346816
numpy_mt19937,1011,34874,24411,5232,5231,RandomForestClassifier,42,0.9327217125382263,0.8876172379735067,0.8604147671484436,0.873243468761081,0.9319781517745881,0.9304148346396482,0.8912802432941218,0.8401555618971591,0.8638597242726124,0.9288665520811505
numpy_mt19937,1012,34874,24411,5232,5231,RandomForestClassifier,42,0.9365443425076453,0.8916525116744479,0.8691119007825868,0.8800226134533501,0.9359623324838487,0.94035557254827,0.9031645651392975,0.8699543170627678,0.8858312994122416,0.9395551947168218
numpy_mt19937,1013,34874,24411,5232,5231,RandomForestClassifier,42,0.9361620795107034,0.9004010728369876,0.8544771638726357,0.8759412530144122,0.9349091357359725,0.9369145478875932,0.894899150348603,0.8660443422261551,0.8799175102898275,0.9361728219905937
numpy_mt19937,1014,34874,24411,5232,5231,RandomForestClassifier,42,0.9376911314984709,0.9016285470721132,0.86290926829315,0.8813220534403273,0.9367428704537164,0.9407379086216785,0.903726929086423,0.8742747428034882,0.8883551957944587,0.9400592545164532
