dataset_size,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_macro_mean,test_f1_macro_std,validation_accuracy_mean,validation_accuracy_std,n
8718,0.9288396194359497,0.006462091047187121,0.9143730886850152,0.9418960244648318,0.8656261684961107,0.011943738725662439,0.9293917770981992,0.0062901668050244115,90
17437,0.9327554705757382,0.004292881118871547,0.9239005736137668,0.9434034416826004,0.8721388738009401,0.008271423377718972,0.9316944762875218,0.004586229945218168,90
26156,0.934562864751544,0.0034349381800759856,0.9268230494645588,0.9423763386027536,0.8755695468156528,0.006620063154162641,0.9346811643447729,0.0036341826775750834,90
34874,0.9364599927780964,0.0032333992390213345,0.9288854903460142,0.943987765245651,0.8791184787345928,0.006446673255528685,0.9362364084267754,0.0029138628494902448,90
