generator_name,seed,dataset_size,train_size,validation_size,test_size,model_name,model_random_state,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,validation_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
numpy_mt19937,1000,8718,6102,1308,1308,RandomForestClassifier,42,0.9243119266055045,0.8720459218825232,0.843825780667886,0.8570431197945864,0.9235582323233867,0.9281345565749235,0.8637045827382552,0.8751405540879226,0.8692020112648495,0.9285042652250053
numpy_mt19937,1001,8718,6102,1308,1308,RandomForestClassifier,42,0.9151376146788991,0.8533763317521031,0.8265150488834699,0.8393017703688669,0.9141207204177664,0.9418960244648318,0.9167871786746561,0.8595294542662965,0.8854504602449808,0.9404098883349857
numpy_mt19937,1002,8718,6102,1308,1308,RandomForestClassifier,42,0.9235474006116208,0.8712557077625571,0.845960057802163,0.8581622419854312,0.9227929597789617,0.926605504587156,0.8766365765140515,0.8508726771884666,0.8626145710785208,0.9258835425756133
numpy_mt19937,1003,8718,6102,1308,1308,RandomForestClassifier,42,0.9319571865443425,0.8892185818623074,0.8562825983878616,0.8719457400434778,0.9310677066885318,0.9304281345565749,0.8879843533907806,0.8482710153762786,0.8671107159455559,0.9293042479056834
numpy_mt19937,1004,8718,6102,1308,1308,RandomForestClassifier,42,0.9235474006116208,0.8649717317668465,0.8479481361060309,0.8562644282990641,0.9230270942900617,0.9281345565749235,0.8784146480167863,0.8539722052879948,0.8656124186461138,0.9273500706435538
numpy_mt19937,1005,8718,6102,1308,1308,RandomForestClassifier,42,0.9281345565749235,0.8854216978645297,0.848943304206462,0.8646411256545988,0.9270842787842789,0.9319571865443425,0.8813698211311181,0.866223554381449,0.8736143329523208,0.9315575524238022
numpy_mt19937,1006,8718,6102,1308,1308,RandomForestClassifier,42,0.926605504587156,0.8661077108569382,0.8584744518955046,0.8621131042163709,0.9264761117017497,0.9296636085626911,0.8875817123553326,0.8491188556978031,0.8673218060784674,0.9285670768604607
numpy_mt19937,1007,8718,6102,1308,1308,RandomForestClassifier,42,0.9159021406727829,0.860780502701251,0.8247318747318747,0.8406950839094627,0.9148233481992988,0.9396024464831805,0.9017091975313317,0.8749379078326447,0.8878501959290106,0.938962737454243
numpy_mt19937,1008,8718,6102,1308,1308,RandomForestClassifier,42,0.9319571865443425,0.8800754912333534,0.8698491724807514,0.8745912132155519,0.9316765679078187,0.9357798165137615,0.8982252098449282,0.8610490189437557,0.8787580429683443,0.9348498968651315
numpy_mt19937,1009,8718,6102,1308,1308,RandomForestClassifier,42,0.9388379204892966,0.9073217147549588,0.8592951974530921,0.8818014143147138,0.9376623457175166,0.9281345565749235,0.8726053639846744,0.8597027478606426,0.8659419034419035,0.9278181763273508
numpy_mt19937,1010,8718,6102,1308,1308,RandomForestClassifier,42,0.918960244648318,0.862691440808656,0.8365446273341011,0.8490712496601066,0.9180486007532604,0.9334862385321101,0.894687236470063,0.8496748628327575,0.8706511519251524,0.9325124543614917
numpy_mt19937,1011,8718,6102,1308,1308,RandomForestClassifier,42,0.9296636085626911,0.8771503823475637,0.8567206304048409,0.8665705565655565,0.9291985672631645,0.9311926605504587,0.895186278581262,0.8478911242069137,0.8701085789384629,0.9298910270189161
numpy_mt19937,1012,8718,6102,1308,1308,RandomForestClassifier,42,0.9319571865443425,0.8796559903726132,0.8680947865158393,0.8737518105503653,0.9316611134329383,0.9342507645259939,0.8852853148353309,0.8673056515161778,0.8760862604240627,0.9337770987951635
numpy_mt19937,1013,8718,6102,1308,1308,RandomForestClassifier,42,0.9311926605504587,0.8752963653105764,0.8732698864277811,0.874278168227954,0.9311466945837543,0.9334862385321101,0.8881968498216571,0.8607854094696199,0.8739967894517955,0.9327495269916078
numpy_mt19937,1014,8718,6102,1308,1308,RandomForestClassifier,42,0.9319571865443425,0.8858164319227585,0.8606098579782789,0.8726139767551516,0.9312919025213854,0.9212538226299695,0.8800551711017573,0.820200839937682,0.8477016886184447,0.9192375427033556
numpy_mt19937,1015,8718,6102,1308,1308,RandomForestClassifier,42,0.9220183486238532,0.8737536676282547,0.8262531328320802,0.8484965234085823,0.9204563578869289,0.9243119266055045,0.8751583182046758,0.8383289304341935,0.8558455640051829,0.9231780180848816
numpy_mt19937,1016,8718,6102,1308,1308,RandomForestClassifier,42,0.9327217125382263,0.8915441896347814,0.8530955767797872,0.8711518567051616,0.9316307741151331,0.9197247706422018,0.8523518051280696,0.8518362347309716,0.8518739610569508,0.9198193706357811
numpy_mt19937,1017,8718,6102,1308,1308,RandomForestClassifier,42,0.9342507645259939,0.8872949659420986,0.8673056515161778,0.8768773954381852,0.9337140005712719,0.922782874617737,0.8687319922247888,0.8425974847027479,0.8552096900106548,0.9219604028925534
numpy_mt19937,1018,8718,6102,1308,1308,RandomForestClassifier,42,0.9235474006116208,0.8626346963533861,0.8606962225383278,0.8597677642295091,0.9238020722120013,0.9304281345565749,0.8815238306860763,0.8587967666915035,0.8698200496532045,0.9298037828896687
numpy_mt19937,1019,8718,6102,1308,1308,RandomForestClassifier,42,0.926605504587156,0.8958721291123526,0.8261955564587143,0.8578922117063691,0.9245142642282479,0.9311926605504587,0.8905093825411967,0.8522183837973311,0.8702887370509148,0.9301230768332055
numpy_mt19937,1020,8718,6102,1308,1308,RandomForestClassifier,42,0.922782874617737,0.872759657700703,0.8345277608435504,0.8526642372682606,0.9215496300909028,0.9281345565749235,0.8781305036516786,0.8492938427148954,0.8631401591171706,0.9272629302419454
numpy_mt19937,1021,8718,6102,1308,1308,RandomForestClassifier,42,0.9334862385321101,0.9039183881668237,0.8433595249384723,0.8712479715637796,0.931902635050613,0.9334862385321101,0.8970983604566256,0.8550548668969721,0.8749567608899501,0.9323830099065165
numpy_mt19937,1022,8718,6102,1308,1308,RandomForestClassifier,42,0.9204892966360856,0.8855332148986262,0.8077157985052722,0.8421816129020424,0.9178395824386699,0.9388379204892966,0.9076883634667358,0.8617512249091197,0.8833647176844956,0.9377459102489992
numpy_mt19937,1023,8718,6102,1308,1308,RandomForestClassifier,42,0.926605504587156,0.8791666666666668,0.8453758269547743,0.8608382181767041,0.9257718618033154,0.9319571865443425,0.8967854780857345,0.8433008196166091,0.8675570220346023,0.9306343877677655
numpy_mt19937,1024,8718,6102,1308,1308,RandomForestClassifier,42,0.9327217125382263,0.8888701157293083,0.8549668089141774,0.8710467443777228,0.9317378477904631,0.9281345565749235,0.8870733215072838,0.8412241188556978,0.8625444555788068,0.92679408421057
numpy_mt19937,1025,8718,6102,1308,1308,RandomForestClassifier,42,0.9304281345565749,0.8902409970846171,0.8421893698209488,0.8646758966229182,0.9290266351089117,0.9311926605504587,0.899324797622881,0.8393534511955565,0.867024513649989,0.929537617964206
numpy_mt19937,1026,8718,6102,1308,1308,RandomForestClassifier,42,0.9220183486238532,0.8646433860698343,0.8446149156675472,0.8535812168223952,0.9214301564618043,0.9288990825688074,0.8792877756301568,0.8592060105218001,0.8678305109442612,0.9283518631503391
numpy_mt19937,1027,8718,6102,1308,1308,RandomForestClassifier,42,0.9319571865443425,0.8761198826238396,0.8718372507846192,0.8738791934925084,0.9318959289696385,0.9418960244648318,0.9192218495661405,0.8598805572489784,0.8873958278853941,0.9405378071699522
numpy_mt19937,1028,8718,6102,1308,1308,RandomForestClassifier,42,0.9418960244648318,0.9116263265199436,0.8740319266635056,0.8919627920535,0.9410662711906896,0.9166666666666666,0.8548579622794655,0.8301993723046355,0.8420014645099142,0.9159169214603461
numpy_mt19937,1029,8718,6102,1308,1308,RandomForestClassifier,42,0.9243119266055045,0.8781345772015522,0.8370424936214409,0.8564740878727627,0.923047494375224,0.9258409785932722,0.8821454702922248,0.8328907855223645,0.8558490102677485,0.9242760644136896
numpy_pcg64,1000,8718,6102,1308,1308,RandomForestClassifier,42,0.9334862385321101,0.8989351604363711,0.8460492447334552,0.8699054728382413,0.9319692832156378,0.9197247706422018,0.8579355100352136,0.8451697938540045,0.8508484482783994,0.9192844602625836
numpy_pcg64,1001,8718,6102,1308,1308,RandomForestClassifier,42,0.9288990825688074,0.8836013810196898,0.852422723475355,0.8667535049963503,0.9279733882066291,0.9250764525993884,0.8839059579404145,0.8324521890311365,0.8563955708285604,0.9235072564288492
numpy_pcg64,1002,8718,6102,1308,1308,RandomForestClassifier,42,0.9327217125382263,0.8932824697277031,0.859528325317799,0.8754557312765338,0.9316762343290382,0.9304281345565749,0.8890829583944188,0.8554054054054054,0.8707251497925949,0.9292170379944401
numpy_pcg64,1003,8718,6102,1308,1308,RandomForestClassifier,42,0.9250764525993884,0.8729509888930179,0.8447323263112736,0.8581338172363808,0.9242183970327567,0.9212538226299695,0.8655503184496988,0.8406675472464946,0.8526316942434683,0.9204522470786985
numpy_pcg64,1004,8718,6102,1308,1308,RandomForestClassifier,42,0.9220183486238532,0.8719192800478245,0.8347908058434373,0.8516118325238607,0.9210561853041105,0.9311926605504587,0.878842223896029,0.8604049538260066,0.8692765401995244,0.9307706658487024
numpy_pcg64,1005,8718,6102,1308,1308,RandomForestClassifier,42,0.9296636085626911,0.8793113017706181,0.8523933708144235,0.8653661185246974,0.9288671417926145,0.9296636085626911,0.879860456196334,0.859644607013028,0.8694392775360301,0.9290865945826227
numpy_pcg64,1006,8718,6102,1308,1308,RandomForestClassifier,42,0.9365443425076453,0.9013751274535041,0.8612539230960282,0.8796783160838485,0.9355947527448184,0.9296636085626911,0.8844273047513598,0.8515748831538307,0.867245080530294,0.9286970961391106
numpy_pcg64,1007,8718,6102,1308,1308,RandomForestClassifier,42,0.9288990825688074,0.8937441071550074,0.8395577908735804,0.8647342656875064,0.9273853196788313,0.9373088685015291,0.8997609643442978,0.8647333423649214,0.8811599861250481,0.9365174046205836
numpy_pcg64,1008,8718,6102,1308,1308,RandomForestClassifier,42,0.9388379204892966,0.8938218390804598,0.880814649235702,0.8871044121044122,0.9385216197142804,0.9319571865443425,0.882731492779601,0.8631827316037842,0.8727109317642187,0.9314322027333536
numpy_pcg64,1009,8718,6102,1308,1308,RandomForestClassifier,42,0.9327217125382263,0.8833962580073673,0.8665453047031995,0.8747367836196451,0.9322873598703276,0.9235474006116208,0.8639443823900015,0.8473633407843936,0.8553747615976529,0.9231584854795185
numpy_pcg64,1010,8718,6102,1308,1308,RandomForestClassifier,42,0.9311926605504587,0.8929025229381438,0.8509319469845785,0.8706595820071024,0.9299839276024686,0.9243119266055045,0.8769369659666078,0.8370424936214409,0.8558924052273027,0.9230961326384416
numpy_pcg64,1011,8718,6102,1308,1308,RandomForestClassifier,42,0.9288990825688074,0.876791462848466,0.8533580573054258,0.8644551586892254,0.9281450779197126,0.9311926605504587,0.890351579751381,0.8499960486802592,0.8685611947975191,0.9300387700279681
numpy_pcg64,1012,8718,6102,1308,1308,RandomForestClassifier,42,0.9288990825688074,0.8748470399946652,0.8606092935040303,0.8671992624975217,0.9286337204541675,0.9311926605504587,0.9006842435655994,0.8437975569554516,0.8687846342713691,0.9297934929962423
numpy_pcg64,1013,8718,6102,1308,1308,RandomForestClassifier,42,0.9204892966360856,0.8624832915622389,0.838591410959832,0.8501518887424928,0.9197102522328802,0.926605504587156,0.8899952068842518,0.8341484341484341,0.8596677218153553,0.9248798516090115
numpy_pcg64,1014,8718,6102,1308,1308,RandomForestClassifier,42,0.9281345565749235,0.8838755663892366,0.8447328907855223,0.86237763659922,0.927116868641163,0.9258409785932722,0.8836626687004933,0.8316043487096119,0.8558578516053664,0.9242581037880169
numpy_pcg64,1015,8718,6102,1308,1308,RandomForestClassifier,42,0.9281345565749235,0.869030562991184,0.8724508342929397,0.8694609040866325,0.9281816703088689,0.926605504587156,0.8797425153688166,0.8465454175980492,0.8615712193569927,0.9257008673623889
numpy_pcg64,1016,8718,6102,1308,1308,RandomForestClassifier,42,0.9357798165137615,0.8812076465906048,0.8808140847614533,0.8801691612239712,0.9360573568109144,0.9373088685015291,0.9035904979840906,0.8609908780961413,0.8808500427887432,0.9362894715362557
numpy_pcg64,1017,8718,6102,1308,1308,RandomForestClassifier,42,0.922782874617737,0.8758820399799152,0.8339429655219129,0.8536893495320389,0.9214757132641825,0.9396024464831805,0.9057877246676869,0.8656985933301723,0.8847100088924019,0.9386397374641455
numpy_pcg64,1018,8718,6102,1308,1308,RandomForestClassifier,42,0.9296636085626911,0.8895156283417741,0.8370724107566212,0.8612318440889869,0.9279647443736564,0.9319571865443425,0.8880866611948411,0.8588554720133668,0.8727719179309917,0.9312042208941301
numpy_pcg64,1019,8718,6102,1308,1308,RandomForestClassifier,42,0.9396024464831805,0.9007654201284464,0.8718970850549798,0.8857977909702047,0.9389123741385683,0.9197247706422018,0.8596669308459833,0.8424800740590216,0.8506792986764117,0.9191761191231058
numpy_pcg64,1020,8718,6102,1308,1308,RandomForestClassifier,42,0.9235474006116208,0.8758785459112404,0.8337967666915035,0.8532217859622399,0.9221495911511474,0.9304281345565749,0.8782041058356848,0.8637088216035584,0.8706873279994497,0.9300537765413418
numpy_pcg64,1021,8718,6102,1308,1308,RandomForestClassifier,42,0.9365443425076453,0.8955096398202885,0.8716628282417757,0.8825688661426101,0.9358219031374598,0.9396024464831805,0.8978032396096669,0.8798499627446995,0.8886229924041388,0.9391688929415428
numpy_pcg64,1022,8718,6102,1308,1308,RandomForestClassifier,42,0.9403669724770642,0.8985664941854311,0.8826277405224773,0.8901833760354109,0.9399485984381614,0.9243119266055045,0.878903634045974,0.8303760527444738,0.8528292000119114,0.9227185330120597
numpy_pcg64,1023,8718,6102,1308,1308,RandomForestClassifier,42,0.9357798165137615,0.8967267700566054,0.8652594323646956,0.8802832588127147,0.9349528113823147,0.9243119266055045,0.8744405753627066,0.8418377023640181,0.8564127803100253,0.9233369328770251
numpy_pcg64,1024,8718,6102,1308,1308,RandomForestClassifier,42,0.9197247706422018,0.8657400713243156,0.8349951455214613,0.8488107606545076,0.9188134241772056,0.9288990825688074,0.8688116747993416,0.8669246313983155,0.867863488611507,0.9288346610843847
numpy_pcg64,1025,8718,6102,1308,1308,RandomForestClassifier,42,0.926605504587156,0.8828364144994693,0.8429197994987468,0.8618314766719507,0.9254408764193358,0.9334862385321101,0.8850552372230913,0.8668670550249497,0.8750958676276627,0.933241089608408
numpy_pcg64,1026,8718,6102,1308,1308,RandomForestClassifier,42,0.9296636085626911,0.8843680142100329,0.8534461152882206,0.8682057527048926,0.9287799875551072,0.9396024464831805,0.9089152335718159,0.8639442073652601,0.8850555085610875,0.938555991339493
